x_coord,y_coord
28597.1669,39798.961
28613.8871,39995.2242
28741.1744,39815.655
28564.0295,39632.2729
29111.67,38975.61
28351.6931,39594.7701
28342.7741,39740.6593
31046.8301,39589.4805
29824.1,38572.16
30582.1,38215.84
30733.8638,38762.2439
29552.24,38701.9
28673.21,39163.93
29232.3606,38900.2315
28882.3578,40440.1317
28556.1477,39318.8058
29612.0323,38838.7824
27837.0334,39020.7488
28433.4999,39885.5496
32174.2918,35098.8104
32444.5217,35453.6678
32229.3617,35383.6726
32410.3926,35271.7364
32375.4954,35170.051
32325.472,35823.9717
32320.0357,35997.2684
32246.0659,35990.7456
30264.1776,30994.7597
18213.6562,36507.8169
18714.471,36997.6927
19831.2917,36294.3127
19860.3631,36409.798
19610.472,36154.6192
19289.8168,36112.2533
18025.9428,36609.4062
18561.8095,36898.4253
18924.8161,38652.2819
30223.1994,36651.8815
30194.9243,36877.2792
29963.6285,36903.1662
30026.4687,36336.1338
30460.9446,36576.481
30394.9029,36366.7901
29598.0859,38339.9922
27751.5586,37825.0781
29656.3321,36775.0947
29707.8648,36779.0905
29749.6768,36749.5862
29818.0559,36839.3645
29830.0702,36912.2681
29576.3203,37491.2812
29668.2541,37471.6058
29684.6992,37553.5273
29704.1126,37637.6725
29639.4805,37778.0547
29400.2617,37725.7422
28121.0801,38268.7852
28240.0745,38359.6695
29460.8559,37726.9889
29421.8945,37882.1133
29486.1335,37915.7452
29279.9809,38026.2842
29146.6066,38113.6749
29086.8281,38164.5
29248.3008,37730.4375
29235.553,37787.1371
29251.7617,37885.625
28962.9515,37918.5499
29675.9231,36514.1566
29037.3835,37710.0917
29249.7223,37516.6532
27812.0967,37767.5494
29152.4171,37599.2039
29963.414,36478.9779
30066.0547,36320.9492
30192.8737,36349.311
30447.9395,36286.4727
30544.5318,36588.7709
29017.3398,34136.332
29050.8796,34252.9453
20505.161,41097.6794
20272.3997,40658.5045
21344.6326,39972.0102
20878.08,39550.76
21026.3461,40101.7077
21162.6537,40303.4372
21452.9618,40246.9897
21485.25,39887.66
21346.1751,40106.9685
21374.3071,39941.9395
21356.3257,39943.2707
20836.1138,40357.2456
20743.2768,40326.2581
20773.5976,40665.0357
20581.8743,39791.6392
20929.1589,40888.8561
21028.24,40876.34
21343.2842,40030.3147
21281.85,39957.43
21005.5592,40580.2986
21145.4428,40760.7142
21254.4996,40638.8302
21059.217,40510.9727
20457.7599,40100.1252
20695.6095,40765.0345
20884.1354,39921.5746
20839.8705,40996.2639
20672.7922,41096.8488
20612.4337,40944.82
21177.2481,40121.6311
20565.9376,41081.058
20498.7021,40997.6232
20434.7146,40912.3617
20361.9478,40819.6691
20221.922,40787.0081
20158.8662,40686.9514
21204.7046,39724.8735
20163.4889,40531.4817
20447.5641,39722.7569
20317.5802,39878.586
20027.2654,40409.2626
20395.5322,40290.7701
20397.9729,40073.9347
20352.8446,41013.5834
20006.0358,40760.5616
21295.8798,39665.1802
21363.991,41123.9328
20226.0907,40152.4974
20134.1254,40120.981
21168.4806,41302.9377
21342.9805,41219.4493
19927.0486,40913.764
19723.7125,40870.4549
19859.549,40799.6812
21095.0855,41051.008
21094.1509,41309.8258
21443.7871,39574.4888
20899.934,41139.0944
20712.1138,41213.883
21108.8428,40690.9971
20985.8418,40364.4597
19702.7354,40739.1965
19584.9139,40909.9744
19616.1105,41031.7585
20950.1385,40814.0823
20182.5515,41087.2501
20260.173,41274.7776
20053.9274,40993.2371
19937.6398,41200.6949
21353.5943,39632.9105
